fName	lName	age	test1	test2	test3	test4
Gustavus	Braz	20	89	46	62	75
Richard	McGerraghty	19	92	29	12	46
Pippo	Kiljan	19	15	63	76	72
Forster	Petracco	22	15	96	75	97
Frederich	Panons	21	100	83	10	57
Lacy	Castagna	19	62	8	69	93
Regine	Gounot	19	64	12	14	54
Duffie	Huckle	20	72	43	99	68
Eden	Cordingly	20	55	92	78	86
Faunie	Ballard	19	10	43	37	8
Danyette	Carbery	19	11	43	60	93
Greggory	Lipyeat	21	92	27	66	100
Rodrigo	Beeke	22	67	1	47	57
Jerry	Cafferty	20	37	9	72	49
Yvor	MacFaell	22	88	53	13	62
Orella	Lindsay	22	98	27	60	95
Raff	Dries	22	29	69	66	8
Jobey	Spray	19	59	73	32	39
Concettina	Coch	21	89	20	20	12
Kirstin	Silbermann	20	17	68	3	67
Federica	Marin	19	42	63	52	99
Flynn	Clementi	21	34	36	8	52
Dalila	Caruth	21	78	59	53	93
Janeczka	Plant	21	66	50	85	16
Marie-jeanne	Bullen	22	90	61	77	40
Bail	Poacher	20	39	36	4	60
Lonni	Yurkiewicz	20	93	44	98	22
Adora	Klimshuk	19	25	56	60	30
Sanderson	Neaves	19	27	94	8	51
Jemimah	Skouling	21	3	73	35	25
Efren	Kalf	20	49	62	66	83
Gaylord	Ginty	21	8	21	16	23
Mei	McCaskill	19	31	31	73	55
Gaile	Hover	21	7	10	17	60
Sayers	Peers	20	81	92	70	15
Arlin	Macbeth	22	53	96	74	47
Nollie	Brockie	19	3	66	36	82
Jermayne	Brager	20	76	21	41	15
Julietta	Margaritelli	22	39	96	53	22
Bruis	McRorie	19	2	58	20	19
Francyne	Darrell	19	26	84	37	82
Alexandro	Currie	20	33	31	7	46
Rivi	Keniwell	19	15	63	95	11
Gabriela	Castlake	22	73	87	3	53
Ofella	Waggett	19	59	49	82	23
Britt	Josovich	19	13	1	43	57
Shoshana	Horney	19	40	51	63	64
Saunders	Klimkovich	21	89	35	10	39
Xena	De Bell	20	71	70	87	59
Xylia	Mazey	21	34	53	23	84
Andrej	Aitken	22	69	6	17	74
Tammie	Kobpac	19	37	75	40	37
Alexander	Davitti	22	72	39	65	62
Nettle	Garaghan	20	59	56	6	10
Kristos	Lorenzetto	22	56	80	4	99
Clerissa	De Gregoli	22	1	3	85	48
Hendrick	Soda	21	67	68	100	39
Connie	Maxworthy	19	41	12	19	13
Fraze	Geare	20	30	11	67	24
Jennilee	Jeffries	20	40	3	91	65
Gannie	McNelis	19	87	53	10	1
Anne-marie	Greason	21	72	11	79	75
Artemas	Caddens	21	26	20	35	64
Trstram	Libbey	19	64	33	39	58
Charisse	Piegrome	21	49	60	72	49
Jamison	Dymoke	19	20	37	84	51
